Date,Description,Amount,Transaction_Type,Memo
2025-01-02,GREAT WEST CASUALTY,-1250.00,DEBIT,Monthly Insurance Premium
2025-01-03,PILOT 4553 KNOXVILLE,-650.00,DEBIT,Diesel
2025-01-05,RTS FINANCIAL,-14.95,DEBIT,Monthly Software Fee
2025-01-07,APEX FACTORING DEPOSIT,4850.00,CREDIT,Inv# 2025-001 Net
2025-01-10,LOVES TRAVEL STOP,-720.50,DEBIT,Fuel
2025-01-12,WAL-MART SUPERCENTER,-85.20,DEBIT,Supplies?
2025-01-15,CHASE EQUIP FINANCE,-2200.00,DEBIT,Truck Lease Payment
2025-01-18,LOVES TRAVEL STOP,-12.00,DEBIT,
2025-01-22,BLUE BEACON TRUCK WASH,-55.00,DEBIT,Trailer Washout
2025-01-25,T-MOBILE AUTOPAY,-145.00,DEBIT,Driver Cell
2025-01-28,APEX FACTORING DEPOSIT,3200.00,CREDIT,Inv# 2025-002 Net
2025-01-31,PILOT 2331,-450.00,DEBIT,Fuel
2025-02-02,GREAT WEST CASUALTY,-1250.00,DEBIT,Monthly Insurance Premium
2025-02-04,HEAVY TRUCK REPAIR LLC,-18500.00,DEBIT,Engine In-Frame Rebuild
2025-02-06,PILOT 4553 KNOXVILLE,-680.00,DEBIT,Diesel
2025-02-09,ZELLE TRANSFER TO M. JONES,-150.00,DEBIT,Lumper Fee - Unloading
2025-02-12,LOVES TRAVEL STOP,-14.50,DEBIT,Shower
2025-02-14,APEX FACTORING DEPOSIT,5100.00,CREDIT,Inv# 2025-003 Net
2025-02-15,CHASE EQUIP FINANCE,-2200.00,DEBIT,Truck Lease Payment
2025-02-18,ATM WITHDRAWAL,-200.00,DEBIT,Casino Floor
2025-02-20,PREPASS,-35.00,DEBIT,Weigh Station Bypass
2025-02-24,PILOT 1102,-590.00,DEBIT,Fuel
2025-02-26,THERMO KING SERVICE,-450.00,DEBIT,Reefer PM
2025-02-28,APEX FACTORING DEPOSIT,2900.00,CREDIT,Inv# 2025-004 Net
2025-03-02,GREAT WEST CASUALTY,-1250.00,DEBIT,Monthly Insurance Premium
2025-03-05,PILOT 4553 KNOXVILLE,-710.00,DEBIT,Diesel
2025-03-08,AMAZON.COM,-45.99,DEBIT,Headset or Personal?
2025-03-10,APEX FACTORING DEPOSIT,4950.00,CREDIT,Inv# 2025-005 Net
2025-03-12,LOVES TRAVEL STOP,-750.00,DEBIT,Fuel
2025-03-15,CHASE EQUIP FINANCE,-2200.00,DEBIT,Truck Lease Payment
2025-03-18,KENWORTH DEALER,-185.00,DEBIT,Sensor Replacement
2025-03-20,CAT SCALE,-12.50,DEBIT,Weigh Ticket
2025-03-24,PILOT 2214,-620.00,DEBIT,Fuel
2025-03-28,APEX FACTORING DEPOSIT,3400.00,CREDIT,Inv# 2025-006 Net
2025-03-30,IRS TREASURY,-2500.00,DEBIT,2024 Tax Balance
